=============================================================
Interval No.1735746149
Start from:2003-02-26 23:00:00.417496
Stop    at:2003-02-26 23:01:00.417496

Total Interval time: 60 second
=============================================================
threshold = 144835.102262
  1. 146.188.66.251	value = 7132302.030482
  2. 146.188.66.47	value = 5950609.433010
  3. 216.84.55.128	value = 5719543.136342
  4. 192.66.219.30	value = 4763543.200733
  5. 200.70.157.142	value = 2572068.314154
  6. 161.180.179.78	value = 2317608.253899
  7. 214.49.216.152	value = 2242461.376536
  8. 166.6.210.72	value = 1876673.164698
  9. 215.130.157.222	value = 1867473.077859
 10. 214.49.216.133	value = 1765499.031309
 11. 211.27.80.93	value = 1691410.278946
 12. 192.246.68.88	value = 1670449.802812
 13. 215.81.207.182	value = 1508397.659026
 14. 64.16.40.176	value = 1465956.645321
 15. 11.73.239.154	value = 1262066.559074
 16. 149.64.43.164	value = 1201688.426394
 17. 202.98.17.224	value = 1075696.542533
 18. 166.48.185.32	value = 1047804.247519
 19. 66.10.134.186	value = 1004624.146503
 20. 211.89.233.172	value = 1000598.670959
 21. 66.41.22.246	value = 991872.640123
 22. 11.65.46.212	value = 991133.552812
 23. 197.140.141.189	value = 985800.922850
 24. 194.200.138.109	value = 974030.532372
 25. 211.89.233.146	value = 942727.834475
 26. 215.111.101.16	value = 928266.126063
 27. 211.89.233.223	value = 880975.539461
 28. 166.219.247.0	value = 856404.636815
 29. 166.219.203.5	value = 802278.242675
 30. 155.80.14.147	value = 790418.841682
 31. 67.65.16.205	value = 740313.922613
 32. 64.213.100.62	value = 704488.690454
 33. 215.130.158.16	value = 686167.526111
 34. 40.102.52.230	value = 666391.189863
 35. 161.180.172.65	value = 645836.761697
 36. 166.6.148.251	value = 639646.030364
 37. 215.201.21.44	value = 634780.455577
 38. 166.219.246.192	value = 632662.205340
 39. 215.136.208.54	value = 624289.216210
 40. 195.139.1.162	value = 590028.168833
 41. 215.130.157.171	value = 540291.293242
 42. 64.221.23.238	value = 539226.167415
 43. 195.111.217.56	value = 503625.961838
 44. 146.188.3.173	value = 494502.884097
 45. 209.22.174.41	value = 471881.211720
 46. 209.78.32.101	value = 447517.333530
 47. 208.14.136.15	value = 445214.061437
 48. 40.160.159.242	value = 436225.999646
 49. 214.49.218.85	value = 416455.664107
 50. 215.95.12.139	value = 407980.662925
 51. 92.80.161.156	value = 400800.814745
 52. 192.185.137.79	value = 399491.660090
 53. 202.160.236.86	value = 395760.219282
 54. 215.130.158.104	value = 383020.714319
 55. 166.219.76.220	value = 375635.841919
 56. 11.47.170.224	value = 374492.706876
 57. 211.89.233.148	value = 360359.037216
 58. 93.19.65.23	value = 355786.497046
 59. 64.109.212.200	value = 337413.326560
 60. 200.166.70.31	value = 334749.011815
 61. 64.2.22.5	value = 312037.328804
 62. 195.59.26.195	value = 305394.544069
 63. 195.52.183.100	value = 305322.535562
 64. 195.58.201.193	value = 305308.533908
 65. 93.54.254.22	value = 300806.002009
 66. 11.177.80.169	value = 289025.610350
 67. 11.209.217.115	value = 284255.046786
 68. 202.162.151.173	value = 282745.868502
 69. 66.252.23.234	value = 280798.638469
 70. 215.130.158.81	value = 277536.253072
 71. 43.185.83.125	value = 275846.053403
 72. 40.67.24.41	value = 274204.859523
 73. 215.92.201.73	value = 272085.609168
 74. 195.50.48.220	value = 269506.304466
 75. 214.49.217.67	value = 266233.917888
 76. 11.84.4.167	value = 262444.470227
 77. 66.107.224.110	value = 258437.996928
 78. 202.107.210.10	value = 254109.485586
 79. 166.219.9.172	value = 251749.206758
 80. 190.41.165.87	value = 248314.801040
 81. 42.128.250.195	value = 245265.440808
 82. 40.19.24.253	value = 239431.751654
 83. 146.188.232.86	value = 235973.343100
 84. 149.64.17.242	value = 234421.159735
 85. 150.84.163.82	value = 229459.573606
 86. 209.103.45.102	value = 228778.493147
 87. 200.162.208.64	value = 227231.310373
 88. 43.16.55.78	value = 224475.984877
 89. 214.49.222.6	value = 222566.759334
 90. 195.217.58.65	value = 222261.723299
 91. 195.217.58.66	value = 222243.721172
 92. 214.231.110.130	value = 221695.656427
 93. 93.64.41.59	value = 221131.589792
 94. 64.234.140.90	value = 220684.536980
 95. 66.193.138.162	value = 217549.166588
 96. 92.136.126.34	value = 216265.014887
 97. 146.16.129.118	value = 212747.599362
 98. 170.210.141.249	value = 211804.487949
 99. 197.12.165.157	value = 210339.314863
100. 161.180.174.160	value = 202925.439036
101. 40.122.228.105	value = 198124.871928
     210.19.244.17	value = 198124.871928
103. 195.108.153.182	value = 197784.831758
104. 65.203.80.32	value = 193826.364130
105. 209.78.32.106	value = 193208.291115
106. 196.109.86.66	value = 190553.977552
107. 68.32.153.66	value = 190061.919423
108. 197.211.76.55	value = 177335.415997
109. 214.231.0.156	value = 176364.301276
110. 40.122.246.217	value = 175934.250473
111. 197.178.42.35	value = 173892.009216
112. 67.82.153.176	value = 173434.955222
113. 215.117.118.47	value = 171870.770440
114. 208.59.28.139	value = 169700.514060
115. 192.19.208.214	value = 167861.296786
116. 200.172.37.185	value = 164165.860232
117. 200.172.51.118	value = 160168.387996
118. 215.47.210.150	value = 159134.265832
119. 64.4.66.89	value = 158681.212311
120. 11.178.26.26	value = 153942.652528
121. 168.116.170.93	value = 152371.466919
122. 166.6.140.67	value = 152046.428521
123. 43.64.123.183	value = 151564.371574
124. 93.195.6.52	value = 150504.246337
125. 200.71.132.247	value = 147665.911035
126. 195.68.24.28	value = 144844.577741
